stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
39.775634,50678,-85.976394,50678,,,,Washington St - 10700 E,0,
39.84031,50075,-86.062178,50075,,,,46th St & Park Forest Ct,0,
39.840341,50077,-86.055234,50077,,,,46th St & Kitley Ave,0,
39.840337,50076,-86.058143,50076,,,,46th St & Kenmore Rd,0,
39.836951,50071,-86.064865,50071,,,,Arlington Ave & Williamsburg Ct,0,
39.839424,50073,-86.064918,50073,,,,Arlington Ave & 45th St,0,
39.693373,12355,-86.270322,12355,,,,Kentucky Ave & High School Rd,0,
39.840307,50079,-86.049026,50079,,,,46th St & David St,0,
39.840327,50078,-86.052239,50078,,,,46th St & Brookhaven Dr,0,
39.770804,51296,-86.260243,51296,,,,Mickley Ave & Port Lillian Dr,0,
39.824868,10260,-86.153032,10260,,,,38th St & Delaware St,0,
39.772436,51294,-86.255539,51294,,,,Vermont St & Worth Ave,0,
39.772352,51295,-86.259143,51295,,,,Vermont St & Speedway Woods Dr,0,
39.772329,51292,-86.246253,51292,,,,Michigan St & Cossell Dr,0,
39.772544,51293,-86.249948,51293,,,,Vermont St & Lynhurst Dr,0,
39.771847,51290,-86.237839,51290,,,,Vermont St & Vine St,0,
39.771989,51291,-86.240209,51291,,,,Vermont St - Thatcher Park - 4649 W,0,
39.847534,52253,-86.13538,52253,,,,52nd St & Indianola Ave,0,
39.847539,52251,-86.13829,52251,,,,52nd St & Crestview Ave,0,
39.847355,52250,-86.139582,52250,,,,52nd St & Carvel Ave,0,
39.847557,52256,-86.130441,52256,,,,52nd St & Kingsley Dr,0,
39.768904,51298,-86.260227,51298,,,,Mickley Ave & Port Irving Dr,0,
39.847543,52254,-86.133838,52254,,,,52nd St & Rosslyn Ave,0,
39.824998,10263,-86.144798,10263,,,,38th St & College Ave,0,
39.825029,10264,-86.142807,10264,,,,38th St & Guilford Ave,0,
39.8253,10265,-86.140096,10265,,,,38th St & Watson Rd,0,
39.780056,10975,-86.248712,10975,,,,10th St & Allison Ave,0,
39.780001,10976,-86.253163,10976,,,,10th St & Norfolk St,0,
39.77993,10977,-86.256788,10977,,,,10th St & Whitcomb Ave,0,
39.779775,10978,-86.263006,10978,,,,10th St & Mount Auburn Dr,0,
39.779561,10979,-86.275561,10979,,,,10th St & Farley Dr,0,
39.685025,52927,-86.134013,52927,,,,Madison Ave & Dudley Ave,0,
39.687037,52926,-86.134681,52926,,,,Madison Ave & Epler Ave,0,
39.70178,52921,-86.139799,52921,,,,Madison Ave & Shelby St,0,
39.702899,52920,-86.140179,52920,,,,Madison Ave & Lawrence Ave,0,
39.696007,52923,-86.137769,52923,,,,Madison Ave & Morgan Dr,0,
39.700558,52922,-86.13941,52922,,,,Madison Ave & Moffitt St,0,
